beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
1.0 TSI DSG LIFE C.Play Shz LED ACC SOFORT,08/2022,81 kW (110 hp),Employee's car,Automatic,Gasoline,111 g/km (comb.),"PreviousNext1 / 18Volkswagen Taigo 1.0 TSI DSG LIFE C.Play Shz LED ACC SOFORTAdd to listShare€ 25,980.-2,460 km08/202281 kW (110 hp)Employee's car1 previous ownerAutomaticGasoline4.9 l/100 km (comb.)111 g/km (comb.)",CC Automobile,Cihanay Cetin • DE-52349 Düren,deutschland,25980,2460,4.9,Volkswagen,1
Carrera 3.4 Cabrio mahagoni Bose PASM Memory,02/2015,257 kW (349 hp),Used,Automatic,Gasoline,218 g/km (comb.),"PreviousNext1 / 27Porsche 991 Carrera 3.4 Cabrio mahagoni Bose PASM Memory€ 89,800.-80,496 km02/2015257 kW (349 hp)Used3 previous ownersAutomaticGasoline9.2 l/100 km (comb.)218 g/km (comb.)",Paul Lüske GmbH,Team Verkauf • DE-49661 Cloppenburg,deutschland,89800,80496,9.2,Porsche,3
COUPE AVANTGARDE WIDESCREEN COMAND 360°KAM,05/2018,135 kW (184 hp),Used,Automatic,Gasoline,158 g/km (comb.),"Mercedes-Benz E 200 COUPE AVANTGARDE WIDESCREEN COMAND 360°KAM€ 36,999.-82,922 km05/2018135 kW (184 hp)Used1 previous ownerAutomaticGasoline7 l/100 km (comb.)158 g/km (comb.)",Genter Automobile,DE-13353 Berlin,deutschland,36999,82922,7,Mercedes-Benz,1
4M Night|Driver|Sportabgas|H&K|Pano,06/2019,280 kW (381 hp),Used,Automatic,Gasoline,193 g/km (comb.),"Mercedes-Benz CLA 45 AMG 4M Night|Driver|Sportabgas|H&K|Pano€ 44,480.-29,900 km06/2019280 kW (381 hp)Used1 previous ownerAutomaticGasoline8.5 l/100 km (comb.)193 g/km (comb.)",Gelder & Sorg GmbH & Co. KG,Ihr Verkaufsteam • DE-97437 Haßfurt,deutschland,44480,29900,8.5,Mercedes-Benz,1
Kasten/Kombi 2.5 CDTI L1H1 Westfalia Tisch Drehsit,07/2010,107 kW (145 hp),Used,Manual,Diesel,232 g/km (comb.),"Opel Vivaro Kasten/Kombi 2.5 CDTI L1H1 Westfalia Tisch Drehsit€ 16,880.-166,000 km07/2010107 kW (145 hp)Used- (Previous Owners)ManualDiesel8.8 l/100 km (comb.)232 g/km (comb.)",Autohaus Kropf GmbH,David Richter • DE-90431 Nürnberg,deutschland,16880,166000,8.8,Opel,0
5.3 V8 Luxury*Alpha*Unikat*Charger*DVD*SD*CAM,12/2007,311 kW (423 hp),Used,Automatic,Gasoline,344 g/km (comb.),"HUMMER H3 5.3 V8 Luxury*Alpha*Unikat*Charger*DVD*SD*CAM€ 29,999.-82,000 km12/2007311 kW (423 hp)Used3 previous ownersAutomaticGasoline14.5 l/100 km (comb.)344 g/km (comb.)",Autohaus Mayer,"Thomas Mayer • DE-86470 Thannhausen, Schwab",deutschland,29999,82000,14.5,HUMMER,3
3 Türer Automatik 178PS Angebot nur noch Heute!,- (First Registration),131 kW (178 hp),New,Automatic,Gasoline,166 g/km (comb.),"MINI Cooper S 3 Türer Automatik 178PS Angebot nur noch Heute!€ 27,990.-- km- (First Registration)131 kW (178 hp)New- (Previous Owners)AutomaticGasoline6.5 l/100 km166 g/km (comb.)",EU Neuwagen Knott GmbH,Valentina Minute • DE-82407 Wielenbach,deutschland,27990,,6.5,MINI,0
2.0 CDTI 4x4 COUNTRY TOURER,11/2015,125 kW (170 hp),Used,Automatic,Diesel,0 g/km (comb.),"Opel Insignia 2.0 CDTI 4x4 COUNTRY TOURER€ 9,700.-225,000 km11/2015125 kW (170 hp)Used- (Previous Owners)AutomaticDiesel- (l/100 km)0 g/km (comb.)",AUTOHAUS EXCELLENCE CARS GmbH & Co. KG,Ihr Verkaufsteam • DE-59077 Hamm,deutschland,9700,225000,,Opel,0
GLC 63 S AMG Coupé 4MATIC+ Keramik Carbon,- (First Registration),375 kW (510 hp),New,Automatic,Gasoline,277 g/km (comb.),"Mercedes-Benz GLC 63 AMG GLC 63 S AMG Coupé 4MATIC+ Keramik Carbon€ 139,990.-- km- (First Registration)375 kW (510 hp)New- (Previous Owners)AutomaticGasoline12.1 l/100 km (comb.)277 g/km (comb.)",Carpoint GmbH,Maik Jung • DE-47506 Neukirchen-Vluyn,deutschland,139990,,12.1,Mercedes-Benz,0
"1.5 TSI 110kW 110 kW (150 PS), Schalt. 6-Gang, ...",- (First Registration),110 kW (150 hp),New,Manual,Gasoline,123 g/km (comb.),"Cupra Leon 1.5 TSI 110kW 110 kW (150 PS), Schalt. 6-Gang, ...€ 26,423.-1 km- (First Registration)110 kW (150 hp)New- (Previous Owners)ManualGasoline5.4 l/100 km (comb.)123 g/km (comb.)",ReStart-AUTO,Erich F. Schulz • DE-72667 Schlaitdorf,deutschland,26423,1,5.4,Cupra,0
2.2 CRDi Platinum 4WD Navi Pano AHK 7S,12/2012,145 kW (197 hp),Used,Automatic,Diesel,178 g/km (comb.),"Kia Sorento 2.2 CRDi Platinum 4WD Navi Pano AHK 7S€ 14,900.-129,820 km12/2012145 kW (197 hp)Used2 previous ownersAutomaticDiesel- (l/100 km)178 g/km (comb.)",Autohaus EuroCar Landshut GmbH,Hans Atzberger • DE-84030 Landshut,deutschland,14900,129820,,Kia,2
